
time 00h 01m 00s, episodes 500, frames 0.0M, mean epr 7.55, run loss 87.69, shares of one box (0.97), two boxes (0.86) and three boxes(0.72) pushed on target, difficulty: 4.0
time 00h 02m 00s, episodes 976, frames 0.0M, mean epr 5.12, run loss 132.65, shares of one box (0.94), two boxes (0.77) and three boxes(0.54) pushed on target, difficulty: 4.0
time 00h 03m 00s, episodes 1462, frames 0.0M, mean epr 3.84, run loss 173.52, shares of one box (0.93), two boxes (0.73) and three boxes(0.45) pushed on target, difficulty: 4.0
time 00h 04m 00s, episodes 1942, frames 0.1M, mean epr 2.76, run loss 186.31, shares of one box (0.92), two boxes (0.70) and three boxes(0.37) pushed on target, difficulty: 4.0
time 00h 05m 00s, episodes 2434, frames 0.1M, mean epr 2.49, run loss 218.15, shares of one box (0.92), two boxes (0.68) and three boxes(0.35) pushed on target, difficulty: 4.0
time 00h 06m 01s, episodes 2912, frames 0.1M, mean epr 2.04, run loss 221.15, shares of one box (0.92), two boxes (0.66) and three boxes(0.32) pushed on target, difficulty: 4.0
time 00h 07m 01s, episodes 3402, frames 0.1M, mean epr 2.02, run loss 239.25, shares of one box (0.92), two boxes (0.67) and three boxes(0.32) pushed on target, difficulty: 4.0
time 00h 08m 02s, episodes 3892, frames 0.1M, mean epr 1.95, run loss 240.40, shares of one box (0.92), two boxes (0.66) and three boxes(0.31) pushed on target, difficulty: 4.0
time 00h 09m 02s, episodes 4383, frames 0.1M, mean epr 1.78, run loss 237.41, shares of one box (0.92), two boxes (0.64) and three boxes(0.30) pushed on target, difficulty: 4.0
time 00h 10m 02s, episodes 4868, frames 0.2M, mean epr 1.74, run loss 233.25, shares of one box (0.92), two boxes (0.64) and three boxes(0.30) pushed on target, difficulty: 4.0
time 00h 11m 03s, episodes 5366, frames 0.2M, mean epr 1.64, run loss 228.61, shares of one box (0.90), two boxes (0.63) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 12m 03s, episodes 5951, frames 0.2M, mean epr 1.58, run loss 220.18, shares of one box (0.91), two boxes (0.65) and three boxes(0.28) pushed on target, difficulty: 4.0
time 00h 13m 04s, episodes 6587, frames 0.2M, mean epr 1.65, run loss 227.97, shares of one box (0.91), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 14m 04s, episodes 7220, frames 0.2M, mean epr 1.71, run loss 230.57, shares of one box (0.92), two boxes (0.63) and three boxes(0.30) pushed on target, difficulty: 4.0
time 00h 15m 04s, episodes 7837, frames 0.2M, mean epr 1.60, run loss 219.74, shares of one box (0.91), two boxes (0.63) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 16m 04s, episodes 8464, frames 0.3M, mean epr 1.61, run loss 221.92, shares of one box (0.91), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 17m 04s, episodes 9087, frames 0.3M, mean epr 1.42, run loss 209.77, shares of one box (0.90), two boxes (0.63) and three boxes(0.28) pushed on target, difficulty: 4.0
time 00h 18m 05s, episodes 9724, frames 0.3M, mean epr 1.55, run loss 219.14, shares of one box (0.90), two boxes (0.62) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 19m 06s, episodes 10355, frames 0.3M, mean epr 1.60, run loss 211.84, shares of one box (0.91), two boxes (0.63) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 20m 06s, episodes 10989, frames 0.3M, mean epr 1.62, run loss 211.30, shares of one box (0.91), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 21m 06s, episodes 11650, frames 0.4M, mean epr 1.62, run loss 207.29, shares of one box (0.91), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 22m 06s, episodes 12308, frames 0.4M, mean epr 1.54, run loss 200.01, shares of one box (0.91), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 00h 23m 06s, episodes 12968, frames 0.4M, mean epr 1.52, run loss 195.26, shares of one box (0.90), two boxes (0.65) and three boxes(0.28) pushed on target, difficulty: 4.0
time 00h 24m 06s, episodes 13638, frames 0.4M, mean epr 1.70, run loss 182.47, shares of one box (0.92), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 25m 07s, episodes 14305, frames 0.4M, mean epr 1.67, run loss 185.91, shares of one box (0.92), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 26m 07s, episodes 14963, frames 0.5M, mean epr 1.41, run loss 175.35, shares of one box (0.91), two boxes (0.64) and three boxes(0.27) pushed on target, difficulty: 4.0
time 00h 27m 07s, episodes 15621, frames 0.5M, mean epr 1.53, run loss 182.98, shares of one box (0.91), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 00h 28m 08s, episodes 16290, frames 0.5M, mean epr 1.67, run loss 182.04, shares of one box (0.91), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 29m 08s, episodes 16959, frames 0.5M, mean epr 1.52, run loss 176.96, shares of one box (0.91), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 00h 30m 09s, episodes 17623, frames 0.6M, mean epr 1.54, run loss 183.76, shares of one box (0.91), two boxes (0.65) and three boxes(0.28) pushed on target, difficulty: 4.0
time 00h 31m 10s, episodes 18278, frames 0.6M, mean epr 1.53, run loss 200.95, shares of one box (0.91), two boxes (0.66) and three boxes(0.28) pushed on target, difficulty: 4.0
time 00h 32m 10s, episodes 18946, frames 0.6M, mean epr 1.68, run loss 196.13, shares of one box (0.92), two boxes (0.66) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 33m 10s, episodes 19603, frames 0.6M, mean epr 1.66, run loss 195.94, shares of one box (0.92), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
